"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG HIV EAC Monitoring Register Column Mapping"
"NgHivEacRegister","NgHivEacRegister","","","",0,*,"","","","null {[]} {[]}
","NG HIV Enhanced Adherence Counselling Monitoring Register","Logical model for the patient-level Nigeria Enhanced Adherence Counselling
"NgHivEacRegister.entry.eacSession.date","NgHivEacRegister.entry.eacSession.date","","","",1,1,"","","","date {[]} {[]}
","EAC session date","Date the EAC session was delivered.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.eacSession.date",1,1,"","","A13–A16"
"NgHivEacRegister.entry.postEacViralLoadSampleCollectionDate","NgHivEacRegister.entry.postEacViralLoadSampleCollectionDate","","","",0,1,"","","","date {[]} {[]}
","A17 Date post-EAC VL sample collected","Date the post-EAC viral-load sample was collected after the counselling sequence.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.postEacViralLoadSampleCollectionDate",0,1,"","","A17"
"NgHivEacRegister.entry.postEacViralLoadResult","NgHivEacRegister.entry.postEacViralLoadResult","","","",0,1,"","","","integer {[]} {[]}
","A18 Post-EAC repeat viral-load result","Post-EAC repeat viral-load result in copies/mL.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.postEacViralLoadResult",0,1,"","","A18 result"
"NgHivEacRegister.entry.postEacViralLoadResultReceivedDate","NgHivEacRegister.entry.postEacViralLoadResultReceivedDate","","","",0,1,"","","","date {[]} {[]}
","A18 Date post-EAC result received","Date the post-EAC viral-load result was received at the facility.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.postEacViralLoadResultReceivedDate",0,1,"","","A18 date received"
"NgHivEacRegister.entry.suspectedVirologicFailureCause","NgHivEacRegister.entry.suspectedVirologicFailureCause","","","",0,*,"","","","Coding {[]} {[]}
","A19 Suspected cause of virologic failure","One or more suspected causes selected from the codes printed on the register.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-eac-register-virologic-failure-cause-vs","",,,,"NgHivEacRegister.entry.suspectedVirologicFailureCause",0,*,"","","A19"
"NgHivEacRegister.entry.suspectedVirologicFailureOther","NgHivEacRegister.entry.suspectedVirologicFailureOther","","","",0,1,"","","","string {[]} {[]}
","A19 Other suspected cause","Narrative description when code 3, other suspected cause, is selected.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.suspectedVirologicFailureOther",0,1,"","","A19 code 3 narrative"
"NgHivEacRegister.entry.regimenSwitched","NgHivEacRegister.entry.regimenSwitched","","","",0,1,"","","","boolean {[]} {[]}
","A20–A21 Regimen switched","True when the ART regimen was switched following EAC; false when it was not switched.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.regimenSwitched",0,1,"","","A20 Yes / A21 No"
"NgHivEacRegister.entry.regimenSwitchDate","NgHivEacRegister.entry.regimenSwitchDate","","","",0,1,"","","","date {[]} {[]}
","A20 Date regimen switched","Date the regimen switch occurred when regimenSwitched is true.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.regimenSwitchDate",0,1,"","","A20 date"
"NgHivEacRegister.entry.newArtRegimen","NgHivEacRegister.entry.newArtRegimen","","","",0,1,"","","","Coding {[]} {[]}
","A22 New ART regimen","Register ART regimen code after switch or substitution.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-art-register-regimen-vs","",,,,"NgHivEacRegister.entry.newArtRegimen",0,1,"","","A22"
"NgHivEacRegister.entry.newArtRegimenText","NgHivEacRegister.entry.newArtRegimenText","","","",0,1,"","","","string {[]} {[]}
","A22 New ART regimen source text","Regimen description retained when a valid register code is unavailable.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.newArtRegimenText",0,1,"","","A22 legacy or uncoded value"
