"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG DR-TB Treatment Register Column Mapping"
"NgDRTBTreatmentRegister.entry.patientAddress","NgDRTBTreatmentRegister.entry.patientAddress","","","",0,1,"","","","string {[]} {[]}
","Patient address","Full address of the patient.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.patientAddress",0,1,"","","Address of Patient in Full"
"NgDRTBTreatmentRegister.entry.referringFacility","NgDRTBTreatmentRegister.entry.referringFacility","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-organization]]}
","Referring health facility reference","Reference to the health facility that referred the patient, when available.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.referringFacility",0,1,"",""
"NgDRTBTreatmentRegister.entry.referringFacilityName","NgDRTBTreatmentRegister.entry.referringFacilityName","","","",0,1,"","","","string {[]} {[]}
","Referring health facility","Full name of the referring health facility.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.referringFacilityName",0,1,"","","Name of the Referring Health Facility in Full"
"NgDRTBTreatmentRegister.entry.referringFacilityState","NgDRTBTreatmentRegister.entry.referringFacilityState","","","",0,1,"","","","Coding {[]} {[]}
","Referring facility state","State of the referring health facility.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-states-vs","",,,,"NgDRTBTreatmentRegister.entry.referringFacilityState",0,1,"","","Referring Health Facility: Above - Enter Name of State"
"NgDRTBTreatmentRegister.entry.referringFacilityLga","NgDRTBTreatmentRegister.entry.referringFacilityLga","","","",0,1,"","","","Coding {[]} {[]}
","Referring facility LGA","LGA of the referring health facility.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-lgas-vs","",,,,"NgDRTBTreatmentRegister.entry.referringFacilityLga",0,1,"","","Referring Health Facility: Below - Enter Name of LGA"
"NgDRTBTreatmentRegister.entry.previousSecondLineTbDrugIntake","NgDRTBTreatmentRegister.entry.previousSecondLineTbDrugIntake","","","",0,1,"","","","boolean {[]} {[]}
","Previous intake of second-line TB drugs","Indicates whether the patient previously received second-line anti-TB drugs.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.previousSecondLineTbDrugIntake",0,1,"","","Previous intake of second line TB drugs: Above Y/N"
"NgDRTBTreatmentRegister.entry.previousSecondLineTbDrugIntakeDate","NgDRTBTreatmentRegister.entry.previousSecondLineTbDrugIntakeDate","","","",0,1,"","","","date {[]} {[]}
","Date of previous second-line TB drug intake","Relevant date recorded beneath the previous second-line drug-intake indicator.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.previousSecondLineTbDrugIntakeDate",0,1,"","","Previous intake of second line TB drugs: Below date"
"NgDRTBTreatmentRegister.entry.weightKg","NgDRTBTreatmentRegister.entry.weightKg","","","",0,1,"","","","decimal {[]} {[]}
","Weight in kilograms","Patient weight recorded at registration.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.weightKg",0,1,"","","Weight (kg): Above"
"NgDRTBTreatmentRegister.entry.heightCm","NgDRTBTreatmentRegister.entry.heightCm","","","",0,1,"","","","decimal {[]} {[]}
","Height in centimetres","Patient height recorded at registration.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.heightCm",0,1,"","","Height (cm): Below"
"NgDRTBTreatmentRegister.entry.treatmentRegimen","NgDRTBTreatmentRegister.entry.treatmentRegimen","","","",1,1,"","","","code {[]} {[]}
","Type of treatment regimen","DR-TB treatment regimen recorded in the source register.
Expected source categories are:
Shorter Regimen (Injectable),
Shorter Regimen (Bdq),
Individualized (Pre-XDR),
Individualized (XDR).","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.treatmentRegimen",1,1,"","","Type of Treatment Regimen"
