URL,Version,Status,OIDs,Name,Title,Description,Used
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-art-register-hepatitis-status-cs,0.0.0,draft,"2.16.840.1.113884.3.9944.1.16.24",NgHivArtRegisterHepatitisStatusCS,NG HIV ART Register Hepatitis Screening Codes,"Hepatitis screening and treatment codes printed in column A28 of the National ART Register.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-art-register-regimen-cs,0.0.0,draft,"2.16.840.1.113884.3.9944.1.16.25",NgHivArtRegisterRegimenCS,NG HIV ART Register Regimen Codes,"Adult and paediatric first-, second- and third-line ART regimen codes printed on the November 2025 National ART Register.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-art-register-tb-status-cs,0.0.0,draft,"2.16.840.1.113884.3.9944.1.16.26",NgHivArtRegisterTbStatusCS,NG HIV ART Register TB Status Codes,"Combined TB screening, diagnostic and treatment status codes printed on column A20 of the National ART Register.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-art-register-tpt-outcome-cs,0.0.0,draft,"2.16.840.1.113884.3.9944.1.16.27",NgHivArtRegisterTptOutcomeCS,NG HIV ART Register TPT Outcome Codes,"TB preventive-therapy outcome codes printed in column A22 of the National ART Register.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-arv-adherence-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.28",NgHivARVAdherenceCS,NG HIV-ARV Adherence CodeSystem,"ARV Adherence",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-arv-regimen-switch-type-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.31",NgHivARVRegimenSwitchTypeCS,ARV Regimen Switch Type,"Codes used for representing the type for the ARV regimen switched.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-arv-treatment-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.32",NgHivARVTreatmentCS,HIV ARV Drugs CodeSystem,"A list of codes describing the ARV Drugs.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-care-art-codes-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.33",NgHivCareArtCodesCS,NG HIV Care and ART Codes,"Local codes transcribed from the Nigeria HIV Care/ART Card for coded answers used by the HIV care and ART Questionnaire.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-care-plan-category-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.34",NgHivCarePlanCategoryCS,HIV-Care Plan Categories CodeSystem,"A list of codes describing Care Plan categories.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-diagnosis-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.113",NgHivDiagnosisCS,Nigeria HIV Diagnosis Codes,"Local HIV programme diagnosis concepts used where a specific opportunistic-infection diagnosis is required.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-dsd-assessment-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.40",NgHivDSDAssessmentCS,HIV Differentiated Service Delivery,"Code used for indicating a DSD assessment.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-dsd-reason-for-category-change-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.43",NgHivDSDReasonForCategoryChangeCS,HIV DSD - Reason For Category Change CodeSystem,"Code used for indicating the reason for the category change for the DSD assessment.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-eac-form-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.44",NgHivEacFormCS,NG HIV Enhanced Adherence Counselling Form Codes,"Local coded answers transcribed from the Nigeria Enhanced Adherence Counselling Form for adherence assessment, adherence barriers, service interventions and intervention tools.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-eac-given-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.45",NgHivEACGivenCS,NG HIV EAC Given,"Codes used for representing the Enhanced Adherence Councilling (EAC) given.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-eac-register-virologic-failure-cause-cs,0.0.0,draft,"2.16.840.1.113884.3.9944.1.16.46",NgHivEacRegisterVirologicFailureCauseCS,NG HIV EAC Register Suspected Causes of Virologic Failure,"Codes printed in the Enhanced Adherence Counselling Monitoring Register for recording the suspected cause or causes of virologic failure after EAC.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-encounter-service-type-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.47",NgHivEncounterServiceTypeCS,HIV Proprietary Service Type,"Codes used for indicating a proprietary encounter service type.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-encounter-type-for-entry-from-outside-facility-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.48",NgHivEncounterTypeForEntryFromOutsideFacilityCS,Encounter Type Code For Entry From Outside Facility,"Code used for indicating that an encounter was captured to represent an entry point from outside the facility.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-enhanced-adherence-counselling-status-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.50",NgHivEnhancedAdherenceCounsellingCS,Enhanced Adherence Counselling,"Code used for indicating a proprietary enhanced adherence counselling",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-family-index-case-contacts-questionnaire-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.51",NgHivFamilyIndexCaseContactsQuestionnairesCS,HIV Family Index Case Contacts Questionnaire,"Proprietary Codes used in the Family Index Case Contacts Questionnaire.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-final-outcome-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.52",NgHivFinalOutcomeCS,HIV - Final Outcome CodeSystem,"Final Outcome",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-int-lab-form-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.54",NgHivIntLabFormCS,NG HIV Integrated Laboratory Form Codes,"Local coded answer concepts transcribed or inferred from the Nigeria HIV Integrated Laboratory Order and Result Form revised November 2025.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-int-lab-register-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.55",NgHivIntLabRegisterCS,NG HIV Integrated Laboratory Monitoring Register Codes,"Local codes required to represent the Integrated Laboratory Monitoring Register revised November 2025. The source workbook does not provide a complete EID-entry-point legend or a POC error-code catalogue; those values are therefore represented using existing terminology or free text in the logical model.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-partner-and-fbict-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.57",NgHivPartnerAndFBICTCS,HIV Partner and FBICT,"Codes used for indicating the patient's status for partner and Family-based Index Case Testing (FBICT).",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-period-of-hiv-exposure-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.59",NgHivPeriodOfHIVExposureCS,HIV Period of HIV Exposure,"Codes used for indicating the period when last the individual was exposed to HIV.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-pharmacy-order-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.60",NgHivPharmacyOrderCS,NG HIV Pharmacy Order Form Codes,"Local coded medicine products transcribed from the Nigeria Combined Pharmacy Order Form revised November 2025. The codes distinguish products by program category, ingredient combination and preprinted strength.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-pharmacy-worksheet-arv-prophylaxis-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.61",NgHivPharmacyWorksheetArvProphylaxisCS,NG HIV Pharmacy Worksheet HEI ARV Prophylaxis Regimens,"ARV prophylaxis codes printed in W17 for HIV-exposed infants.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-pharmacy-worksheet-dsd-model-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.62",NgHivPharmacyWorksheetDsdModelCS,NG HIV Pharmacy Worksheet DSD Models,"DSD models represented by W9 and W10.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-pharmacy-worksheet-medicine-category-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.63",NgHivPharmacyWorksheetMedicineCategoryCS,NG HIV Pharmacy Worksheet Medicine Categories,"Medicine-section categories printed on the revised Pharmacy Daily Worksheet.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-pharmacy-worksheet-medicine-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.64",NgHivPharmacyWorksheetMedicineCS,NG HIV Pharmacy Daily Worksheet Medicine Columns,"Local codes for the fixed medicine columns W24–W71 on the revised November 2025 Pharmacy Daily Worksheet. The code is the printed worksheet column identifier, allowing exact reconstruction of the paper worksheet.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-pharmacy-worksheet-summary-scope-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.65",NgHivPharmacyWorksheetSummaryScopeCS,NG HIV Pharmacy Worksheet Summary Scopes,"The three summary rows printed at the bottom of the worksheet.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-positive-tracking-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.66",NgHivPositiveTrackingCS,NG HIV Positive Tracking,"Codes used for representing HIV positive tracking.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-precancerous-lesion-treatment-received-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.67",NgHivPrecancerousLesionTreatmentReceivedCS,NG HIV Precancerous Lesion Treatment Received,"A list of codes describing the precancerous lesion treatment received",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-reason-not-started-art-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.69",NgHivReasonNotStartedARTCS,HIV - Reason Not Started ART CodeSystem,"Reason Not Started ART",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-routine-indication-viral-load-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.70",NgHivRoutineIndicationViralLoadCS,NG HIV Routine Indication Viral Load,"Codes used for representing routine indication for viral load.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-service-provider-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.71",NgHivServiceProviderTypeCS,HIV Service Providers CodeSystem,"Code used for representing the classification of organizations providing health services.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-status-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.72",NgHivStatusCS,NG Client HIV status CS,"This CodeSystem IMMZ.C.DE31 defines list of options for HIV status of a Client",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-suspicious-cancerous-treatment-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.73",NgHivSuspiciousCancerousTreatmentCS,NG HIV-Suspicious Cancerous Treatment,"A list of codes describing the suspicious Cancerous treatment",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-target-population-category-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.74",NgHivTargetPopulationCategoryCS,Target Population Category Codes,"Codes used for representing the patient's target population category",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-targeted-indication-viral-load-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.75",NgHivTargetedIndicationViralLoadCS,NG HIV Targeted Indication Viral Load,"Codes used for representing targeted indication for viral load.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-tracking-attempt-stage-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.76",NgHivTrackingAttemptStageCS,NG HIV Tracking Register Attempt Stages,"The four numbered tracking attempts and the final attempt at the end of the tracking period represented by columns T19–T23.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-tracking-default-reason-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.77",NgHivTrackingDefaultReasonCS,NG HIV Tracking Register Reasons for Defaulting,"Reasons recorded when successful contact establishes why the client missed the appointment.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-tracking-discontinuation-reason-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.78",NgHivTrackingDiscontinuationReasonCS,NG HIV Tracking Register Reasons for Discontinuation,"Reasons for discontinuing care at the facility printed for T26.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-tracking-dsd-model-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.79",NgHivTrackingDsdModelCS,NG HIV Tracking Register DSD Model Codes,"High-level DSD model codes printed in T15.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-tracking-dsd-status-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.80",NgHivTrackingDsdStatusCS,NG HIV Tracking Register DSD Status Codes,"High-level differentiated-service-delivery status codes printed in T15. The source register spells devolved as 'Devloved'; this artefact uses the intended spelling while preserving code D.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-tracking-mode-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.81",NgHivTrackingModeCS,NG HIV Tracking Register Tracking Modes,"Tracking modes printed for T19–T23.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-tracking-person-contacted-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.82",NgHivTrackingPersonContactedCS,NG HIV Tracking Register Person Contacted Codes,"Person-contacted codes printed for T19–T23.",
