"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG HIV Tracking Register Column Mapping"
"NgHivTrackingRegister.entry.currentArtRegimen","NgHivTrackingRegister.entry.currentArtRegimen","","","",0,1,"","","","Coding {[]} {[]}
","T14 Current ART regimen","Current ART regimen using the adult or paediatric regimen code printed in the register legend.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-art-register-regimen-vs","",,,,"NgHivTrackingRegister.entry.currentArtRegimen",0,1,"","","T14 regimen code"
"NgHivTrackingRegister.entry.currentArtRegimenText","NgHivTrackingRegister.entry.currentArtRegimenText","","","",0,1,"","","","string {[]} {[]}
","T14 Current ART regimen source text","Regimen description retained when the source does not contain a valid register code.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.currentArtRegimenText",0,1,"","","T14 uncoded regimen text"
"NgHivTrackingRegister.entry.pregnant","NgHivTrackingRegister.entry.pregnant","","","",0,1,"","","","boolean {[]} {[]}
","T14 Pregnancy modifier","True when P was appended to the ART regimen code.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.pregnant",0,1,"","","T14 suffix P"
"NgHivTrackingRegister.entry.breastfeeding","NgHivTrackingRegister.entry.breastfeeding","","","",0,1,"","","","boolean {[]} {[]}
","T14 Breastfeeding modifier","True when BF was appended to the ART regimen code.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.breastfeeding",0,1,"","","T14 suffix BF"
"NgHivTrackingRegister.entry.dsdStatus","NgHivTrackingRegister.entry.dsdStatus","","","",0,1,"","","","Coding {[]} {[]}
","T15 DSD status","Devolved, non-devolved or not eligible.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-tracking-dsd-status-vs","",,,,"NgHivTrackingRegister.entry.dsdStatus",0,1,"","","T15 value before slash"
"NgHivTrackingRegister.entry.dsdModel","NgHivTrackingRegister.entry.dsdModel","","","",0,1,"","","","Coding {[]} {[]}
","T15 DSD model","Facility-based or community-based model, recorded with the DSD status and separated by a slash.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-tracking-dsd-model-vs","",,,,"NgHivTrackingRegister.entry.dsdModel",0,1,"","","T15 value after slash"
"NgHivTrackingRegister.entry.reasonForTracking","NgHivTrackingRegister.entry.reasonForTracking","","","",1,1,"","","","Coding {[]} {[]}
","T16 Reason for tracking","Reason the client was entered into the tracking register.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-tracking-reason-vs","",,,,"NgHivTrackingRegister.entry.reasonForTracking",1,1,"","","T16"
"NgHivTrackingRegister.entry.reasonForTrackingOther","NgHivTrackingRegister.entry.reasonForTrackingOther","","","",0,1,"","","","string {[]} {[]}
","T16 Other tracking reason","Narrative description when T16 code 11e is used.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.reasonForTrackingOther",0,1,"","","T16 code 11e narrative"
"NgHivTrackingRegister.entry.lastActualContactDate","NgHivTrackingRegister.entry.lastActualContactDate","","","",0,1,"","","","date {[]} {[]}
","T17 Date of last actual contact or appointment","Date the client last attended or had actual contact with the facility.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.lastActualContactDate",0,1,"","","T17"
"NgHivTrackingRegister.entry.missedAppointmentDate","NgHivTrackingRegister.entry.missedAppointmentDate","","","",1,1,"","","","date {[]} {[]}
","T18 Date of missed appointment","Date the client missed the scheduled follow-up appointment.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.missedAppointmentDate",1,1,"","","T18"
